ledger_id,source_pdf,source_page,source_label,kind,source_or_improved_caption_text,crop_box_points,master_asset,companion_asset,sha256_master,reuse_mode,destination_file,destination_label,current_pdf_status,notes,destination_caption_text
crop-011,AI JMP.pdf,81,Figure D.1,figure,"How long each classifier is on: naive inversion count versus the IYC signal, 1988-2026.","80 325 525 470",rewrite/assets/original/figure_d01_appendix.pdf,rewrite/assets/original/figure_d01_appendix.png,ea32bfae6a0e838078f39dbb35919d3f71c0b527b3a8bf586eabac993a92a286,"verbatim vector crop; caption adapted",rewrite/appendix/G_additional_inherited_exhibits.tex,fig:recovered-counts,"external-only Appendix G; excluded from both current PDFs","Appendix G is not input by main.tex or online_appendix.tex.",
crop-012,AI JMP.pdf,93,Figure J.1,figure,"Three local-projection designs for the four outcomes in source Figure 6.","92 72 522 378",rewrite/assets/original/figure_j01_appendix.pdf,rewrite/assets/original/figure_j01_appendix.png,141956a8f6137ceeb7faef9167954e8eac419a159ee348eae219571284d194d0,"verbatim vector crop; caption adapted",rewrite/appendix/G_additional_inherited_exhibits.tex,fig:recovered-lp-variants,"external-only Appendix G; excluded from both current PDFs","Appendix G is not input by main.tex or online_appendix.tex.",
crop-013,AI JMP.pdf,24,Table 1,table,"Stylized facts by state: yield, rate, inflation, carry-return means, and state gaps with episode-level inference.","68 70 544 438",rewrite/assets/original/table_01_main.pdf,rewrite/assets/original/table_01_main.png,a7fd0b920747c6f172ec2ee1e3194afc7867d30462a95ce7caadfeb1fa6ee1e2,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-014,AI JMP.pdf,32,Table 2,table,"The mechanism currency by currency, sorted by beta, with rate differentials, betas, and state effects.","68 70 544 414",rewrite/assets/original/table_02_main.pdf,rewrite/assets/original/table_02_main.png,a495c3e81ea55e00ba2e3c050840e283af722f423783dcccfbd1d36fda5fd2aa,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit; selected estimates are discussed in prose.",
crop-015,AI JMP.pdf,36,Table 3,table,"Fama regressions by signal and downcurve state, per currency and pooled.","68 68 544 420",rewrite/assets/original/table_03_main.pdf,rewrite/assets/original/table_03_main.png,3463fcff60f36c49f0cbc5f6d87978c6039e0ceb3a67159f94c6d3b6fe897860,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit; pooled estimates are discussed in prose.",
crop-016,AI JMP.pdf,39,Table 4,table,"The carry trade in and out of the IYC signal: moments, state effects, and ex-bottom-decile results.","68 70 544 500",rewrite/assets/original/table_04_main.pdf,rewrite/assets/original/table_04_main.png,5526749b62fbc80a11bdbf6d88ce007663a57a16a2aa74b4b90109cb34691fc5,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","The full crop is audit-only; adapted native transcriptions are listed separately below.",
crop-017,AI JMP.pdf,40,Table 5,table,"Conditional quantiles, volatility, and skewness outside and inside the signal and by downcurve regime.","68 70 544 403",rewrite/assets/original/table_05_main.pdf,rewrite/assets/original/table_05_main.png,cea4638ffb755d06edcc3722f8d0f9c4249323e2be6158ca42a3a8904e089602,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-018,AI JMP.pdf,42,Table 6,table,"Trading the signal: five strategies for carry and high-beta portfolios.","68 70 544 317",rewrite/assets/original/table_06_main.pdf,rewrite/assets/original/table_06_main.png,36890a5970c81ae766a707283f5c44b3ff03caccad263a7ae43b163e3bb43029,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-019,AI JMP.pdf,47,Table 7,table,"Portfolio horse race against global slope, U.S. inversion, and own-country signals.","68 68 544 430",rewrite/assets/original/table_07_main.pdf,rewrite/assets/original/table_07_main.png,4f29083992b4cabb58703c04b9b06e36f62f6a4824a831bd9f6994ad331810b1,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-020,AI JMP.pdf,49,Table 8,table,"Each currency against the dollar: own-signal and cluster specifications with curve controls.","68 70 544 466",rewrite/assets/original/table_08_main.pdf,rewrite/assets/original/table_08_main.png,a8226d930a817affeadc8153b826c07d52342097b8ebea7d67cac5166edf6021,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-021,AI JMP.pdf,50,Table 9,table,"Emerging-market spot returns on the IYC signal by currency, 1996-2026.","68 70 544 250",rewrite/assets/original/table_09_main.pdf,rewrite/assets/original/table_09_main.png,259c68763c5933be302a4e41f792281437a2ed2ee9be2607117a3427cae34566,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-022,AI JMP.pdf,51,Table 10,table,"Emerging-market pooled panel for the IYC signal and two naive-count states.","68 70 544 223",rewrite/assets/original/table_10_main.pdf,rewrite/assets/original/table_10_main.png,a75f38f09ec7e74e868efb42abf9cca4cb4a600b9d5e6920f5274fb36d6e1122,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-023,AI JMP.pdf,53,Table 11,table,"Conditional moments with and without emerging markets, 1996:01-2026:02.","68 70 544 392",rewrite/assets/original/table_11_main.pdf,rewrite/assets/original/table_11_main.png,395f234918a7434a3f528c049f3cc98678ce7c1f504cf4d2c81b87d8bc202258,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-024,AI JMP.pdf,55,Table 12,table,"State regressions with and without emerging markets, split by signal and downcurve state.","68 70 544 371",rewrite/assets/original/table_12_main.pdf,rewrite/assets/original/table_12_main.png,082edc949bdff420a79fba93cc1a528f6ef365ce2d28b54abda5880285df8d90,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-025,AI JMP.pdf,57,Table 13,table,"The signal and the S&P 500: conditional moments, state regressions and crash hazard, downcurve wedge, and overlays.","68 70 544 384",rewrite/assets/original/table_13_main.pdf,rewrite/assets/original/table_13_main.png,3af0967452640695bbe87008732739133f1e50fe27ba70272b943fc834b4d889,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit; source text extraction split the caption equation, but the visual crop is intact.",
crop-026,AI JMP.pdf,59,Table 14,table,"The signal against NFCI and VIX risk gauges in a four-step control staircase.","68 70 544 733",rewrite/assets/original/table_14_main.pdf,rewrite/assets/original/table_14_main.png,20dea6cd03db36a0c2427c29de07947b567f7d95c4607b624b97f30f2cf99498,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit; too dense for normal print-scale reuse.",
crop-027,AI JMP.pdf,72,Table A.1,table,"One-month money-market rates by country, 1988:01-2026:02.","68 247 544 481",rewrite/assets/original/table_a01_appendix.pdf,rewrite/assets/original/table_a01_appendix.png,cbfbdb31bc7e078674e49db2e64d7b8b91f4c85d0ff0739506b1279d9d8bc951,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-028,AI JMP.pdf,75,Table A.2,table,"The sample's economic regimes: rates, inflation, carry returns, and signal/downcurve counts.","68 70 544 231",rewrite/assets/original/table_a02_appendix.pdf,rewrite/assets/original/table_a02_appendix.png,89f0932305231177303d805f0a821839016843cea7ec9bc42848910d7ea9e2f9,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-029,AI JMP.pdf,75,Table A.3,table,"Currency summary statistics, 1988-2026.","68 240 544 446",rewrite/assets/original/table_a03_appendix.pdf,rewrite/assets/original/table_a03_appendix.png,1c33bd60d68e2118a84f39d5cc6cfc93ba9a16e0e5ffae75d104d0024ae15a6f,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-030,AI JMP.pdf,79,Table C.1,table,"Cluster-size grid for at-least and exactly-n live inversions.","68 160 544 322",rewrite/assets/original/table_c01_appendix.pdf,rewrite/assets/original/table_c01_appendix.png,5383dbc3d6920ffe6b5331f242aa3a5c1b70de6446b5559dc99ab83ce37774ae,"verbatim vector crop including caption",rewrite/appendix/G_additional_inherited_exhibits.tex,,"external-only Appendix G; excluded from both current PDFs","Included as an unlabeled centered image in Appendix G, which neither PDF entry point inputs.",
crop-031,AI JMP.pdf,79,Table C.2,table,"Exit-confirmation grid for one, two, or three consecutive re-steepening months.","68 344 544 447",rewrite/assets/original/table_c02_appendix.pdf,rewrite/assets/original/table_c02_appendix.png,7f6c1fcc79c04d50c18522b40b66c6bf6ccd6a9ba4a8525fd44cb52627983c9c,"verbatim vector crop including caption",rewrite/appendix/G_additional_inherited_exhibits.tex,,"external-only Appendix G; excluded from both current PDFs","Included as an unlabeled centered image in Appendix G, which neither PDF entry point inputs.",
crop-032,AI JMP.pdf,79,Table C.3,table,"Slope-definition robustness using 10Y-3M rather than 10Y-2Y slopes.","68 470 544 613",rewrite/assets/original/table_c03_appendix.pdf,rewrite/assets/original/table_c03_appendix.png,fc94b9e7598695340303ba1d4c6b9b66c58f3ce09762b54715dd7846d6243d98,"verbatim vector crop including caption",rewrite/appendix/G_additional_inherited_exhibits.tex,,"external-only Appendix G; excluded from both current PDFs","Included as an unlabeled centered image in Appendix G, which neither PDF entry point inputs.",
crop-033,AI JMP.pdf,82,Table D.1,table,"Tail capture per classifier at the worst 1, 5, and 10 percent thresholds.","68 313 544 602",rewrite/assets/original/table_d01_appendix.pdf,rewrite/assets/original/table_d01_appendix.png,fce5930656d309d590b8c596732c479f01ab7ea0dda127b898daae31edd24d53,"verbatim vector crop including caption",rewrite/appendix/G_additional_inherited_exhibits.tex,,"external-only Appendix G; excluded from both current PDFs","Included as an unlabeled centered image in Appendix G, which neither PDF entry point inputs.",
crop-034,AI JMP.pdf,84,Table D.2,table,"Repairing the naive count using a downcurve filter, inverse-age weighting, and the paper's signal.","68 191 544 387",rewrite/assets/original/table_d02_appendix.pdf,rewrite/assets/original/table_d02_appendix.png,677abe5ed4003b79924a50c634e7f09bcd035db1e2866b26bde2c0a53c5e831f,"verbatim vector crop including caption",rewrite/appendix/G_additional_inherited_exhibits.tex,,"external-only Appendix G; excluded from both current PDFs","Included as an unlabeled centered image in Appendix G, which neither PDF entry point inputs.",
crop-035,AI JMP.pdf,86,Table E.1,table,"The headline in the two calendar halves of the sample.","68 70 544 303",rewrite/assets/original/table_e01_appendix.pdf,rewrite/assets/original/table_e01_appendix.png,fbc1baea991c50493edb7bb1c87b0f9f50f8646a076fd9188ce58edc8ff271dd,"verbatim vector crop including caption",rewrite/appendix/G_additional_inherited_exhibits.tex,,"external-only Appendix G; excluded from both current PDFs","Full crop is external-only; an adapted native transcription is listed separately below.",
crop-036,AI JMP.pdf,88,Table F.1,table,"Headline cells with the United States included in the signal count and/or portfolio.","68 312 544 519",rewrite/assets/original/table_f01_appendix.pdf,rewrite/assets/original/table_f01_appendix.png,d3e712f699205ecb81d2910f09eff919f22c4682bc9f1ef7d4b694b2215b1b9d,"verbatim vector crop including caption",audit asset only,,"external-only source Appendix F material; excluded from both current PDFs","Retained as an audit asset and not referenced by either PDF entry point.",
crop-037,AI JMP.pdf,89,Table G.1,table,"High-beta portfolio under S&P 500 and MSCI World currency-beta definitions.","68 399 544 641",rewrite/assets/original/table_g01_appendix.pdf,rewrite/assets/original/table_g01_appendix.png,04d78b6100842bb80f7f59489facb118bd7deaf04675925c26a9b57145352ebd,"verbatim vector crop including caption",audit asset only,,"external-only source Appendix G material; excluded from both current PDFs","Retained as an audit asset and not referenced by either PDF entry point.",
crop-038,AI JMP.pdf,91,Table H.1,table,"Portfolio composition by state for carry and high-beta long and short legs.","68 70 544 476",rewrite/assets/original/table_h01_appendix.pdf,rewrite/assets/original/table_h01_appendix.png,85a3ee99088c35507edae9d1f9b2e74c47991e1a6acbe59cd7d0552a9ba804b2,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-039,AI JMP.pdf,92,Table I.1,table,"Emerging-market-native construction by own signal and average-curve shape.","68 70 544 274",rewrite/assets/original/table_i01_appendix.pdf,rewrite/assets/original/table_i01_appendix.png,7e097698924eb9ee76bd710684e2553a64f731bebdef36171d392c478c2ed992,"verbatim vector crop including caption",audit asset only,,"excluded from both current PDFs","Full table crop retained only for audit.",
crop-040,AI JMP.pdf,94,Table K.1,table,"Signal rebuilt on term-premium-stripped slopes.","68 70 544 334",rewrite/assets/original/table_k01_appendix.pdf,rewrite/assets/original/table_k01_appendix.png,dafcb18e29ff1442c39b31ca82af364f98fac48b564d4fd8734dbbfa96b798d7,"verbatim vector crop including caption",rewrite/appendix/G_additional_inherited_exhibits.tex,,"external-only Appendix G; excluded from both current PDFs","Included as an unlabeled centered image in Appendix G, which neither PDF entry point inputs.",
adapt-041,AI JMP.pdf,39,Table 4,table,"The carry trade in and out of the IYC signal","",rewrite/generated/tables/inherited_headline.tex,"",4123deb1458f7cf6e680288b097eeb88acf733fef8747911c2e65af689c1aef5,"adapted numerical transcription",rewrite/generated/tables/inherited_headline.tex,tab:inherited-headline,"included in main PDF p. 14; excluded from online appendix","Selected headline cells only; values transcribed and reformatted. Hash is for the adapted LaTeX file.","The carry trade in and out of the IYC signal"
adapt-042,AI JMP.pdf,39,Table 4,table,"State effects after removing bottom-decile months","",rewrite/generated/tables/inherited_tail_robustness.tex,"",ef4a2a6b49fc1a645a663e507d83a9bbe260502ee3c8dad0591236bc001fe5b8,"adapted numerical transcription",rewrite/generated/tables/inherited_tail_robustness.tex,tab:inherited-excrash,"excluded from main PDF; included in online appendix p. 8","Selected ex-bottom-decile rows only; values transcribed and reformatted. Hash is for the adapted LaTeX file.","State effects after removing bottom-decile months"
adapt-043,AI JMP.pdf,86,Table E.1,table,"The headline estimates in two halves of the sample","",rewrite/generated/tables/inherited_split_sample.tex,"",b16420776d9241e1b6196ee33aa9e9840e2bb83e979cbc082e4243a1815c37f5,"adapted numerical transcription",rewrite/generated/tables/inherited_split_sample.tex,tab:inherited-halves,"excluded from main PDF; included in online appendix p. 9","Selected split-sample cells only; values transcribed and reformatted. Hash is for the adapted LaTeX file.","The headline estimates in two halves of the sample"
adapt-044,AI JMP.pdf,"31-36","Table 2; Figure 5; Table 3",table,"How active-state losses align with exposure","",rewrite/generated/tables/inherited_exposure_ordering.tex,"",4a896349d871df3216164804f607c8f9a61965b4e225a462e4f93e71a82c1bea,"adapted numerical synthesis",rewrite/generated/tables/inherited_exposure_ordering.tex,tab:exposure-ordering,"included in main PDF p. 21; excluded from online appendix","Selected rate-beta, cross-currency, beta-portfolio, panel-interaction, and conditional-Fama estimates are combined in one native table.","How active-state losses align with exposure"
adapt-045,AI JMP.pdf,"53-55","Tables 11-12",table,"Spot repricing and compensation across currency universes, 1996-2026","",rewrite/generated/tables/inherited_g10_em_compensation.tex,"",fb485b781084c7602873e02022f740aae94a53abf3aae5433a7105ef25f7904a,"adapted numerical synthesis",rewrite/generated/tables/inherited_g10_em_compensation.tex,tab:g10-em-compensation,"excluded from main PDF; included in online appendix p. 13 as Table 9","Common-sample G10 and G10-plus-emerging-market spot and total-return cells are combined; implied income is computed as total minus spot.","Spot repricing and compensation across currency universes, 1996--2026"
adapt-046,AI JMP.pdf,"79;94","Tables C.3 and K.1",table,"Measurement perturbations and exposure ordering","",rewrite/generated/tables/inherited_measurement_perturbations.tex,"",3882a3759f497b4f8dd9dff275935db245183b9c95c1714418f07a586965eca4,"adapted numerical synthesis",rewrite/generated/tables/inherited_measurement_perturbations.tex,tab:measurement-perturbations,"excluded from main PDF; included in online appendix p. 10","Baseline, 10Y-3M, and U.S.-term-premium-adjusted carry and beta-sort estimates are placed on one comparable scale.","Measurement perturbations and exposure ordering"
adapt-047,AI JMP.pdf,75,Table A.2,table,"Incidence of the synchronized-inversion state across eras","",rewrite/generated/tables/inherited_state_incidence.tex,"",65f59c80d59f68bc2695a3afb961387c7c030b4225a45b3bb7912039c4895bdc,"adapted numerical transcription",rewrite/generated/tables/inherited_state_incidence.tex,tab:state-incidence,"excluded from main PDF; included in online appendix p. 4","Era sample counts and active-state counts are transcribed; active shares are recomputed from those counts.","Incidence of the synchronized-inversion state across eras"
adapt-048,AI JMP.pdf,89,Table G.1,table,"Equity-beta benchmark sensitivity rows","",rewrite/generated/tables/inherited_beta_benchmark_sensitivity.tex,"",7be2cc92ed2f35efd246b9db98e859703c4c92384bfea6b7dbc31e0b01df69b4,"adapted numerical transcription",rewrite/generated/tables/inherited_beta_benchmark_sensitivity.tex,tab:v03-beta-benchmark,"included in main PDF p. 24; excluded from online appendix","Additional source-reported rows are appended to Main Table 7; the maximal-sample MSCI result is weak and is displayed as adverse evidence.","Equity-beta benchmark sensitivity"
adapt-049,AI JMP.pdf,"79;84","Tables C.1-C.3 and D.2",table,"Reported state-definition neighborhood","",rewrite/generated/tables/v03_reported_rule_neighborhood.tex,"",27e548d31034daba50c790592bb4207136b3a67ac20475e3d85c7a589af3fb4e,"exact native numerical transcription",rewrite/generated/tables/v03_reported_rule_neighborhood.tex,tab:v03-reported-rule-neighborhood,"included in main PDF p. 17; excluded from online appendix","Displayed source rules only; per-rule source wild-bootstrap p-values; no search or family-wise adjustment.","Reported state-definition neighborhood"
adapt-050,AI JMP.pdf,47,Table 7,table,"The synchronized configuration versus reported portfolio-level rivals","",rewrite/generated/tables/v03_configuration_horse_race.tex,"",3d41405b8ebaacba324cfe3c505e8e2d7d83446dda788b5f283bba42d5743ae3,"exact native numerical transcription",rewrite/generated/tables/v03_configuration_horse_race.tex,tab:v03-configuration-horse-race,"included in main PDF p. 19; excluded from online appendix","All four portfolio panels and displayed source statistics retained.","The synchronized configuration versus reported portfolio-level rivals"
adapt-051,AI JMP.pdf,49,Table 8,table,"Bilateral cluster and own-curve specifications","",rewrite/generated/tables/v03_bilateral_own_curve.tex,"",da7086c023d9622fc153e1e5fcaa882cd636054c6653d0a6e2490b36ffd3da40,"exact native numerical transcription",rewrite/generated/tables/v03_bilateral_own_curve.tex,tab:v03-bilateral-own-curve,"excluded from main PDF; included in online appendix p. 11","All nine source rows; an own-curve horse race, explicitly not leave-one-country-out.","Bilateral cluster and own-curve specifications"
adapt-052,AI JMP.pdf,88,Table F.1,table,"Including the U.S. curve and the dollar","",rewrite/generated/tables/v03_us_inclusion.tex,"",60c27d5116b1ee9ae8f6bba39df2cb77b2c0968ccb411b4feccf3bec4e184168,"exact native numerical transcription",rewrite/generated/tables/v03_us_inclusion.tex,tab:v03-us-inclusion,"included in main PDF p. 25; excluded from online appendix","Selected U.S.-curve and portfolio-inclusion rows.","Including the U.S. curve and the dollar"
adapt-053,AI JMP.pdf,89,Table G.1,table,"Equity-beta benchmark sensitivity","",rewrite/generated/tables/v03_beta_benchmark.tex,"",3ae8a7734f24d9674d0409ff312048b4ebb57a28b877b40596396fbd6a75bcdd,"exact native numerical transcription",rewrite/generated/tables/v03_beta_benchmark.tex,tab:v03-beta-benchmark,"included in main PDF p. 24; excluded from online appendix","Core S&P 500 and MSCI World benchmark rows; source-reported, not independently replicated.","Equity-beta benchmark sensitivity"
adapt-054,AI JMP.pdf,94,Table K.1,table,"State rebuilt after removing fitted exposure to the U.S. ACM slope term premium","",rewrite/generated/tables/v03_term_premium.tex,"",41c9f6b3abe3def8fb0df0d7e83b85fb63bb791119fba8ada50ed8227bb4420b,"exact native numerical transcription",rewrite/generated/tables/v03_term_premium.tex,tab:v03-term-premium,"included in main PDF p. 27; excluded from online appendix","Shows asymmetric attenuation of carry and persistence of beta ordering.","State rebuilt after removing fitted exposure to the U.S. ACM slope term premium"
adapt-055,AI JMP.pdf,91,Table H.1,table,"Persistent portfolio cores and state-dependent rotation","",rewrite/generated/tables/v03_portfolio_composition.tex,"",62e6a280ca453f1c359a5e034555f3003e04b924628de93dbe843a76d6e03cf2,"selected exact numerical transcription",rewrite/generated/tables/v03_portfolio_composition.tex,tab:v03-portfolio-composition,"included in main PDF p. 23; excluded from online appendix","Seven of nine currencies selected from the complete source table; full-sample/active-state membership shares; not a new estimate.","Persistent portfolio cores and state-dependent rotation"
adapt-056,AI JMP.pdf,"79;84","Tables C.1-C.3 and D.2",figure,"Reported state-definition neighborhood visualization","",rewrite/generated/v03_reported_rule_neighborhood.pdf,rewrite/generated/v03_reported_rule_neighborhood.png,6db9001f7f1ed8169c0f775309ae92ae7ff8fa1b8a901ed84731f89e53e221bd,"new visualization of transcribed source cells",rewrite/sections/04_main_inherited_evidence.tex,fig:v03-reported-neighborhood,"included in main PDF p. 16; excluded from online appendix","Visualization is newly composed; underlying values are source-reported and lack search-adjusted inference.","Reported state-definition neighborhood"
