asset_id,asset_files,label,kind,source_pdf_page,caption,panels,source_object_type,crop_method,resolution,intended_placement,recommendation,evidentiary_status,limitations
table_05_main,"rewrite/assets/original/table_05_main.pdf; rewrite/assets/original/table_05_main.png",Table 5,table,40,"The conditional distribution under the signal. Quantiles, annualized volatility, and skewness for both portfolio legs outside and inside the signal and by downcurve regime.","Four series blocks: carry spot; carry total; high-beta spot; high-beta total","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1851 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_06_main,"rewrite/assets/original/table_06_main.pdf; rewrite/assets/original/table_06_main.png",Table 6,table,42,"Trading the signal. Five strategies are applied to the carry and high-beta portfolios, reporting mean, Sharpe, skewness, expected shortfall, maximum drawdown, and worst month.","Carry-trade panel; high-beta-portfolio panel","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1374 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_07_main,"rewrite/assets/original/table_07_main.pdf; rewrite/assets/original/table_07_main.png",Table 7,table,47,"The portfolio horse race. Cluster effects are confronted with the global slope, its change, the U.S. inversion, and nine own-country signals for carry and high-beta spot and total returns.","Four portfolio column groups; specifications (2) and (3)","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption, full table, and footer; 400-DPI PNG companion","2646x2012 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Dense footer text is legible only at high zoom."
table_08_main,"rewrite/assets/original/table_08_main.pdf; rewrite/assets/original/table_08_main.png",Table 8,table,49,"Each currency against the dollar. Own-signal and cluster effects are compared alone, jointly, and with own-curve and global-slope controls; a pooled fixed-effects row is included.","Single bilateral-currency table with four specification groups","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x2201 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Dense wide table; likely appendix placement in the rewrite."
table_09_main,"rewrite/assets/original/table_09_main.pdf; rewrite/assets/original/table_09_main.png",Table 9,table,50,"EM spot returns on the IYC signal, per currency, 1996-2026, with episode-clustered t-statistics, wild-bootstrap p-values, observations, and start dates.","Single per-currency table","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1001 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_10_main,"rewrite/assets/original/table_10_main.pdf; rewrite/assets/original/table_10_main.png",Table 10,table,51,"EM pooled panel. Currency-fixed-effects results for the IYC signal, the naive synchronized-inversion count, and an age-restricted naive count, for spot and total returns as labeled.","Single pooled-results table","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x851 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_11_main,"rewrite/assets/original/table_11_main.pdf; rewrite/assets/original/table_11_main.png",Table 11,table,53,"Conditional moments with and without emerging markets, 1996:01-2026:02, covering off/on-signal means, Sharpe ratios, skewness, value-at-risk, expected shortfall, and worst month.","Panel A: G10 portfolios; Panel B: G10+EM portfolios","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1790 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Dense; near-full-width placement required."
table_12_main,"rewrite/assets/original/table_12_main.pdf; rewrite/assets/original/table_12_main.png",Table 12,table,55,"State regressions with and without emerging markets. Signal, non-downcurve, and downcurve stay-set effects are reported with Newey-West and wild-bootstrap inference.","Panel A: G10 portfolio; Panel B: G10+EM portfolio","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1674 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_13_main,"rewrite/assets/original/table_13_main.pdf; rewrite/assets/original/table_13_main.png",Table 13,table,57,"The signal and the S&P 500, 1988:01-2026:02. Reports conditional moments, state regressions and bottom-decile hazard, the downcurve wedge, and simple overlays.","Panel A: conditional moments; Panel B: state regressions and hazard; Panel C: overlays","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1746 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","The source caption equation spans overlapping PDF text blocks; visual crop is intact."
table_14_main,"rewrite/assets/original/table_14_main.pdf; rewrite/assets/original/table_14_main.png",Table 14,table,59,"The signal against the risk gauges. A four-step control staircase adds NFCI and VIX levels and changes for each carry and high-beta portfolio leg.","Panel A: carry spot; Panel B: carry total; Panel C: high-beta spot; Panel D: high-beta total","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and nearly full-page table; 400-DPI PNG companion","2646x3685 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Extremely tall and dense; PNG copy is unsuitable for normal print scale. Use the vector PDF only for temporary review and rebuild for final."
figure_a01_appendix,"rewrite/assets/original/figure_a01_appendix.pdf; rewrite/assets/original/figure_a01_appendix.png",Figure A.1,figure,73,"One-month money-market rates, 1988-2026, for the nine G10 currencies and the United States, using warm/cool currency groups and a dashed black U.S. series.","Single time-series panel","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2417x1529 PNG at 400 DPI; scalable one-page PDF","online appendix","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","Multi-series legend is small; retain full width."
figure_a02_appendix,"rewrite/assets/original/figure_a02_appendix.pdf; rewrite/assets/original/figure_a02_appendix.png",Figure A.2,figure,74,"Real-time expanding-window equity betas with the same currency color scheme as Figure A.1.","Single time-series panel","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2428x1501 PNG at 400 DPI; scalable one-page PDF","online appendix","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","Multi-series legend is small; retain full width."
table_a01_appendix,"rewrite/assets/original/table_a01_appendix.pdf; rewrite/assets/original/table_a01_appendix.png",Table A.1,table,72,"One-month money-market rates by country, 1988:01-2026:02, reporting mean, standard deviation, minimum, maximum, and coverage.","Single country table","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1301 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_a02_appendix,"rewrite/assets/original/table_a02_appendix.pdf; rewrite/assets/original/table_a02_appendix.png",Table A.2,table,75,"The sample's economic regimes, reporting months, rates, inflation, carry income and total returns, and counts of signal and downcurve months.","Single era table","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x896 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_a03_appendix,"rewrite/assets/original/table_a03_appendix.pdf; rewrite/assets/original/table_a03_appendix.png",Table A.3,table,75,"Summary statistics, 1988-2026, with spot-return moments, average money-market differential, and sample-average real-time equity beta by currency.","Single currency table","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1145 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_c01_appendix,"rewrite/assets/original/table_c01_appendix.pdf; rewrite/assets/original/table_c01_appendix.png",Table C.1,table,79,"Cluster-size grid for states defined by at least or exactly n live inversions, with state regressions for carry and high-beta spot and total returns.","Single robustness grid","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x901 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_c02_appendix,"rewrite/assets/original/table_c02_appendix.pdf; rewrite/assets/original/table_c02_appendix.png",Table C.2,table,79,"Exit-confirmation grid for one, two, or three consecutive re-steepening months, with the entry rule held fixed.","Single robustness grid","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x573 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Very wide and shallow."
table_c03_appendix,"rewrite/assets/original/table_c03_appendix.pdf; rewrite/assets/original/table_c03_appendix.png",Table C.3,table,79,"Slope-definition robustness comparing 10Y-2Y and 10Y-3M signal constructions, including non-downcurve cells and overlap notes.","Single robustness grid","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption, full table, and note; 400-DPI PNG companion","2646x795 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
figure_d01_appendix,"rewrite/assets/original/figure_d01_appendix.pdf; rewrite/assets/original/figure_d01_appendix.png",Figure D.1,figure,81,"How long each classifier is on: the naive count of at least two inverted curves versus the paper's IYC signal, 1988-2026.","Two horizontal classifier timelines; not lettered","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2473x807 PNG at 400 DPI; scalable one-page PDF","online appendix","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","Thin vertical episode bands can be softened by low-resolution viewers; use the PDF."
table_d01_appendix,"rewrite/assets/original/table_d01_appendix.pdf; rewrite/assets/original/table_d01_appendix.png",Table D.1,table,82,"Tail capture per classifier, reporting time share, tail capture, concentration, and in-state tail rate for the worst 1%, 5%, and 10% of carry-total months.","Three tail-threshold blocks: worst 1%; worst 5%; worst 10%","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1607 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_d02_appendix,"rewrite/assets/original/table_d02_appendix.pdf; rewrite/assets/original/table_d02_appendix.png",Table D.2,table,84,"Repairing the naive count by a downcurve filter, inverse-age weighting, and the paper's signal, with headline and controlled results.","Main state-regression block plus controlled-results footer","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption, full table, and footer; 400-DPI PNG companion","2646x1089 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Small footer text; preserve high zoom."
table_e01_appendix,"rewrite/assets/original/table_e01_appendix.pdf; rewrite/assets/original/table_e01_appendix.png",Table E.1,table,86,"The headline in the two halves of the sample, with state effects, clustered inference, sample counts, episode counts, and worst-month capture.","Two sample-period column groups","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1296 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_f01_appendix,"rewrite/assets/original/table_f01_appendix.pdf; rewrite/assets/original/table_f01_appendix.png",Table F.1,table,88,"Headline cells with the U.S. included in the signal count and/or the portfolio.","Single specification table with sample/overlap footer","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption, full table, and footer; 400-DPI PNG companion","2646x1151 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
table_g01_appendix,"rewrite/assets/original/table_g01_appendix.pdf; rewrite/assets/original/table_g01_appendix.png",Table G.1,table,89,"The high-beta portfolio under S&P 500 and MSCI World currency-beta definitions, for maximal and post-1999 samples.","Panel A: each definition's maximal sample; Panel B: post-1999 subsample","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1346 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Dense wide layout; keep full width."
table_h01_appendix,"rewrite/assets/original/table_h01_appendix.pdf; rewrite/assets/original/table_h01_appendix.png",Table H.1,table,91,"Portfolio composition by state, showing each currency's long- and short-leg occupancy in the full sample, IYC-cluster months, and the two downcurve cells.","Panel A: carry portfolio; Panel B: high-beta portfolio","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption, full table, and state-count footer; 400-DPI PNG companion","2646x2257 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Tall dense table; likely landscape if rebuilt."
table_i01_appendix,"rewrite/assets/original/table_i01_appendix.pdf; rewrite/assets/original/table_i01_appendix.png",Table I.1,table,92,"EM-native construction, reporting EM basket returns by the EM own-signal state and EM average-curve shape, plus the within-signal wedge regression.","Cell-means block plus wedge-regression block","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1135 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
figure_j01_appendix,"rewrite/assets/original/figure_j01_appendix.pdf; rewrite/assets/original/figure_j01_appendix.png",Figure J.1,figure,93,"Three local-projection designs: baseline state, signal-onset only, and a controlled state specification, for the four outcomes in Figure 6.","2x2 panels: industrial production; leading indicator; money-market rate; carry spot leg","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2389x1700 PNG at 400 DPI; scalable one-page PDF","online appendix","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","Layered translucent bands can produce harmless antialiasing differences across PDF renderers."
table_k01_appendix,"rewrite/assets/original/table_k01_appendix.pdf; rewrite/assets/original/table_k01_appendix.png",Table K.1,table,94,"The signal rebuilt on term-premium-stripped slopes, including baseline and stripped-signal effects, the two downcurve cells, and the within-signal wedge.","Single state-regression table","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1468 PNG at 400 DPI; scalable one-page PDF","online appendix","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","No extraction defect observed."
