object_id,source_object,source_pdf_page,central_content,recommended_disposition,recommended_destination,epistemic_status,key_reason
T012,Table 12,55,"G10 and G10-plus-EM state regressions",condense,"Online appendix compensation comparison",source_reported_imprecise,"Broader portfolio estimates weak; useful accounting boundary"
T013,Table 13,57,"S&P 500 application",reject,"No reader-facing destination",source_reported_secondary,"Does not sharpen currency configuration contribution"
T014,Table 14,59,"NFCI and VIX control staircase",condense,"Main alternative-explanations table; full online",source_reported_unreplicated,"Useful predictive-spanning evidence; not shock identification"
A001,Table A.1,72,"Money-market rates by country",restore_selected_online,"Online appendix data section",source_reported_input_summary,"Supports rate ranking and data transparency"
A002,Figure A.1,73,"Money-market-rate histories",restore_optional_online,"Online appendix inputs",source_reported_input_summary,"Useful only if legible and paired with definitions"
A003,Figure A.2,74,"Expanding S&P equity-beta histories",restore_optional_online,"Online appendix exposure inputs",source_reported_input_summary,"Supports persistence but must carry MSCI benchmark caveat"
A004,Table A.2,75,"Era incidence and regime summary",retain_online,"Online appendix state incidence",source_reported_unreplicated,"Shows severe state-frequency variation across eras"
A005,Table A.3,75,"Currency summary statistics",restore_selected_online,"Online appendix data summary",source_reported_input_summary,"Standard transparency; not headline evidence"
C001,Table C.1,79,"Breadth grid at-least/exactly one through four",restore_promote,"Main reported-neighborhood table; full online",source_reported_in_sample,"Reveals nonlinear sign and failure at three/four"
C002,Table C.2,79,"One/two/three-month release grid",restore_promote,"Main reported-neighborhood table; full online",source_reported_in_sample,"Shows precision concentrated at two-month baseline"
C003,Table C.3,79,"10Y-3M tenor robustness",restore_promote,"Main reported-neighborhood table; full online",source_reported_in_sample,"Carry attenuates while beta loss persists"
D001,Figure D.1,81,"Current-count versus live-state timelines",restore_online,"Online appendix classifier anatomy",source_reported_diagnostic,"Shows duration difference; not independent evidence"
D002,Table D.1,82,"Tail capture by current/live classifiers",restore_online,"Online appendix classifier diagnostic",source_reported_outcome_selected,"Tail capture partly reflects historical rule motivation"
D003,Table D.2,84,"Current-count repairs including reciprocal age",restore_promote,"Main reported-neighborhood table; full online",source_reported_in_sample,"Age-weighted beta effect exceeds baseline; adverse uniqueness evidence"
E001,Table E.1,86,"Calendar-half state coefficients",retain_online,"Online appendix stability",source_reported_descriptive,"Carry present both halves; beta concentrated post-2005"
F001,Table F.1,88,"U.S.-curve and dollar-inclusive constructions",restore,"Main robustness sentence/cells; full online",source_reported_unreplicated,"Shows U.S. exclusion is not load-bearing"
G001,Table G.1,89,"S&P versus MSCI beta definitions",restore_adverse,"Main limitation; full online",source_reported_adverse_robustness,"MSCI beta fails full-sample signal test"
H001,Table H.1,91,"Portfolio membership by state",restore_online,"Online appendix composition; main prose",source_reported_unreplicated,"Supports standing exposure rather than wholesale resorting"
I001,Table I.1,92,"EM-native signal and downcurve cells",demote_or_omit,"Exploratory online appendix",source_reported_small_cell,"Seven-month downcurve cell and secondary regime"
J001,Figure J.1,93,"Baseline onset and controlled local projections",retain_online,"Online appendix macro timing",source_reported_supporting,"Not an episode-level carry event study"
K001,Table K.1,94,"U.S.-ACM-stripped state",restore_online,"Main asymmetric summary; full online",source_reported_partial_decomposition,"High-beta persists; carry attenuates; foreign premia remain"
E006,Equations 1-5,11-13,"Return accounting and shared exposure",retain_simplified,"Main measurement and compact compensation benchmark",source_reported_or_schematic,"Needed for accounting; shared factor is organizing not structural"
E007,Equations 6-7,13-17,"iid breadth sufficiency and beta-pricing apparatus",reject,"No reader-facing destination",source_model_restrictive,"Requires identical loading/independence assumptions not identified"
E008,Equations 10-14,19-21,"Delayed compensation and conditional UIP mapping",demote_simplified,"Compact main benchmark; derivation online",source_model_assumed,"Timing friction assumed rather than estimated"
E009,Equation 15,22,"Strategy payoff rules",reject,"No reader-facing destination",source_model_nonexecutible,"Supports overlays that fail implementation boundary"
E010,Equations 16-17,23,"Downcurve definitions",demote,"Exploratory online appendix",source_reported_exploratory,"Secondary selected regime"
N001,"Current public easing checks",NA,"Delivered policy easing event study and outcomes",demote,"Online appendix only",independently_generated_different_estimand,"Not a validation of inversion-state predictor"
N002,"Current pair/triple screen",NA,"120 public delivered-easing combinations",demote,"Online appendix or repository only",independently_generated_exploratory,"CHF-GBP result crisis-sensitive; do not place in main"
M001,"Leave-one-country-out state",NA,"Other countries' curves predict excluded currency",missing,"Future decisive test",not_available,"Cannot be recovered from Table 8 or current public data"
M002,"Full state multiverse and search-adjusted inference",NA,"Complete specification family and family-wise inference",missing,"Future decisive test",not_available,"Source grids are local and have per-specification inference only"
M003,"Executable forward returns",NA,"Forward excess returns after costs/basis",missing,"Future decisive test",not_available,"Current return is money-market proxy"
M004,"Country-level term-premium decomposition",NA,"Expected-rate versus foreign term-premium states",missing,"Future mechanism test",not_available,"U.S. ACM proxy removes only a fitted common component"
M005,"Frozen external holdout",NA,"Prospective or untouched historical validation",missing,"Future decisive test",not_available,"All source specifications were assessed on same history"
