"claim","source_page","status","intended_location"
"The opposite exactly-one and exactly-two signs establish within-sample nonlinearity but do not prove two is a population-optimal threshold.","Source coefficients AI JMP.pdf p. 45; qualification is v0.3 interpretation","rewrite_interpretation","Main pp. 15,33; Appendix p. 7"
"At least three and at least four live curves produce carry-spot coefficients of -6.77 and -0.75 with p=0.405 and 0.879.","AI JMP.pdf p. 79; Table C.1","source_reported_adverse_not_independently_replicated","Main pp. 16-17; Main Figure 3/Table 3"
"One- and three-month release variants produce carry-spot coefficients of -12.14 and -3.59 with p=0.059 and 0.161.","AI JMP.pdf p. 79; Table C.2","source_reported_adverse_not_independently_replicated","Main pp. 16-17; Main Figure 3/Table 3"
"The displayed breadth, release, tenor, and current-count neighborhood has only per-rule p-values and no search or family-wise adjustment.","AI JMP.pdf pp. 79,84; Tables C.1-C.3 and D.2; absence verified from source","source_boundary","Main pp. 16-17; Main Figure 3/Table 3"
"The 10Y-3M source classifier gives carry and high-beta spot coefficients of -4.68 and -5.25 with p=0.146 and 0.011.","AI JMP.pdf p. 79; Table C.3","source_reported_not_independently_replicated","Main p. 17; Appendix p. 10, Table 5"
"A reciprocal-age current-inversion classifier gives carry and high-beta spot coefficients of -10.43 and -14.87; with NFCI/VIX controls they are -7.55 and -13.82.","AI JMP.pdf p. 84; Table D.2","source_reported_not_independently_replicated","Main p. 17, Table 3"
"The U.S. inversion alone has carry-spot coefficient -1.90 with p=0.484 and total coefficient -1.34 with p=0.637.","AI JMP.pdf pp. 46-48; Table 7 and text","source_reported_not_independently_replicated","Main pp. 18-19,25; Main Tables 4,8"
"With the global slope, its change, and U.S. inversion, the cluster coefficient is -13.45 for carry spot and -12.44 for total.","AI JMP.pdf p. 47; Table 7","source_reported_not_independently_replicated","Main pp. 18-19; Main Table 4"
"With all nine own live states added, the cluster coefficient is -26.79 for carry spot and -27.52 for total.","AI JMP.pdf p. 47; Table 7","source_reported_not_independently_replicated","Main pp. 18-19; Main Table 4"
"The nine own-state coefficients are jointly detected in source Table 7, but this does not imply a single own curve explains the cluster.","AI JMP.pdf p. 47; Table 7","source_reported_with_v03_qualification","Main pp. 18-19; Main Table 4"
"In the full bilateral Table 8, Australia is the only own-state coefficient detected alone; conditional on the cluster, individual own-state coefficients are imprecise.","AI JMP.pdf p. 49; Table 8","source_reported_not_independently_replicated","Main p. 22; Appendix p. 11, Table 7"
"The bilateral Table 8 comparison is an own-curve horse race, not a leave-one-country-out design.","AI JMP.pdf p. 49; Table 8 design; v0.3 clarification","source_design_clarification","Main p. 22; Appendix p. 11"
"The pooled bilateral cluster coefficient is -4.74 with Newey-West t=-2.34, while the pooled own-state coefficient is -0.01 with t=-0.01.","AI JMP.pdf p. 49; Table 8 and text","source_reported_not_independently_replicated","Main p. 22"
"The rank correlation between average currency interest differentials and S&P equity betas is 0.72.","AI JMP.pdf pp. 31-32; Table 2","source_reported_not_independently_replicated","Main pp. 4,20-21; Main Table 5"
"Across nine currencies, the state spot coefficient on S&P beta has slope -60, intercept -0.75, and R-squared 0.77.","AI JMP.pdf pp. 31-33; Table 2 and Figure 5","source_reported_not_independently_replicated","Main pp. 4,20-21; Main Figure 4/Table 5"
"The fitted beta gradient is descriptive, has only nine observations, and is leveraged by Australia and New Zealand; it does not prove zero effect at zero beta.","Source estimates AI JMP.pdf pp. 31-33; qualification is v0.3 interpretation","rewrite_interpretation","Main pp. 20-21"
"Australia and New Zealand have state spot coefficients of -13.21 and -13.28 points; Japan and Switzerland have +2.35 and -0.89.","AI JMP.pdf pp. 31-32; Table 2","source_reported_not_independently_replicated","Main pp. 20,22"
"The pooled Fama slope is 0.50 outside and -1.33 inside; the interaction has Newey-West t=-2.39 but episode-bootstrap p=0.340.","AI JMP.pdf pp. 34-36; Table 3","source_reported_adverse_not_independently_replicated","Main p. 21; Appendix p. 7"
"The OECD leading-indicator proxy declines about 0.6 percent over six months after a state month.","AI JMP.pdf pp. 34-37; Figure 6 discussion","source_reported_not_independently_replicated","Appendix p. 14, Figure 1"
"The industrial-production decline is imprecise under the fullest lag controls.","AI JMP.pdf pp. 34-37,93; local-projection discussion and Figure J.1","source_reported_adverse_not_independently_replicated","Main p. 32; Appendix pp. 13-15"
"New Zealand is in the carry long leg in 85 percent of all months and 91 percent of state months; Australia in 71 and 73 percent.","AI JMP.pdf p. 91; Table H.1","source_reported_not_independently_replicated","Main p. 23, Table 6"
"Japan and Switzerland are persistent carry funding currencies, at 83/97 and 96/100 percent in full-sample/state months.","AI JMP.pdf p. 91; Table H.1","source_reported_not_independently_replicated","Main p. 23, Table 6"
"Main Table 6 selects seven of nine currencies from source Table H.1; Appendix Table 8 reports all nine currencies and both portfolio panels.","AI JMP.pdf p. 91; Table H.1; v0.3 transcription scope","transcription_scope","Main p. 23, Table 6; Appendix p. 12, Table 8"
"The maximal all-nine-beta S&P state effect is about -7.93 spot, whereas the maximal-sample MSCI effect is -2.93 with p=0.319; post-1999 both benchmarks are negative.","AI JMP.pdf p. 89; Table G.1","source_reported_adverse_not_independently_replicated","Main p. 24, Table 7"
"The beta benchmark is contestable: maximal-sample MSCI is weak even though post-1999 and downcurve-excluded rows align better with S&P.","AI JMP.pdf p. 89; Table G.1; v0.3 interpretation","rewrite_interpretation","Main pp. 4,23-24"
"Including the U.S. curve in the count yields 101 state months and a carry-spot coefficient of -11.72 with p=0.001.","AI JMP.pdf p. 88; Table F.1","source_reported_not_independently_replicated","Main p. 25, Table 8"
"Including the dollar in the portfolio leaves the reported carry-spot estimate near -13 points.","AI JMP.pdf p. 88; Table F.1","source_reported_not_independently_replicated","Main p. 25, Table 8"
"Lagged NFCI alone leaves carry spot at -12.84 with p<0.001; lagged NFCI and VIX leave it at -13.18 with p=0.004.","AI JMP.pdf pp. 58-59; Table 14","source_reported_not_independently_replicated","Main pp. 25-26"
"Contemporaneous dollar and FX-volatility factors leave carry spot near -11.5 with p=0.002, but beta-portfolio precision weakens under volatility controls.","AI JMP.pdf pp. 59-60; factor-control discussion","source_reported_not_independently_replicated","Main pp. 25-26"
"A fitted U.S. ACM term-premium adjustment leaves 83 percent of individual inversions intact.","AI JMP.pdf pp. 61,94; Section 11 and Table K.1","source_reported_not_independently_replicated","Main p. 26"
"The term-premium-adjusted state gives carry spot about -5.42 with p=0.107 and high-beta spot -6.17 with p=0.004.","AI JMP.pdf p. 94; Table K.1","source_reported_adverse_not_independently_replicated","Main pp. 26-27, Table 9; Appendix pp. 10,15"
"The available U.S. common-term-premium removal does not eliminate exposure ordering but attenuates the carry magnitude; comparable foreign term-premium decompositions are unavailable.","AI JMP.pdf p. 94; Table K.1 and v0.3 interpretation","source_reported_with_v03_interpretation","Main pp. 26-27; Appendix pp. 10,15"
"Carry spot is -11.41 points before 2005 and -15.85 after; high-beta spot is -4.01 with p=0.287 and -11.91 with p=0.010.","AI JMP.pdf p. 86; Table E.1","source_reported_not_independently_replicated","Main p. 27; Appendix p. 9, Table 4"
"The source reports the high-beta effect survives every one-episode deletion; carry is materially sensitive to deleting crisis episodes.","AI JMP.pdf pp. 61,85-87; Section 11 and Appendix E","source_reported_not_independently_replicated","Main pp. 27,29"
"Downcurve months number 52 and 35 fall inside the state.","AI JMP.pdf pp. 23-24; Section 2.5 and Table 1","source_reported_not_independently_replicated","External audit context; narrowed downcurve sensitivity appears on Main p. 17 and Appendix p. 15"
"Within state months, carry total averages 5.51 percent in downcurve months and -11.24 percent otherwise; the wedge is concentrated in two inflation eras.","AI JMP.pdf pp. 24,39,43-44; Figure 3 and Table 4","source_reported_not_independently_replicated","External audit context; exact 5.51/-11.24 cells are not reader-facing"
"The downcurve split is exploratory because curve shape, rate level, and inflation coincide and the regime was motivated by inspecting false alarms.","AI JMP.pdf pp. 26,44 plus v0.3 classification","rewrite_interpretation","Main p. 17; Appendix p. 15"
"Pooled emerging-market spot and total state effects are -14.37 and -13.35 points with episode p=0.104 and 0.079.","AI JMP.pdf pp. 50-51; Tables 9-10","source_reported_adverse_not_independently_replicated","Appendix p. 12"
"On the common 1996-2026 sample, G10 and G10+EM active-state spot means are -12.79 and -12.51, while total means are -8.67 and +2.51.","AI JMP.pdf pp. 53-55; Tables 11-12","source_reported_not_independently_replicated","Appendix p. 12, Table 9"
"Implied active-state carry income is about 4.12 percent for G10 and 15.02 percent for G10+EM.","Computed as total minus spot from AI JMP.pdf pp. 53-55; Tables 11-12","derived_from_source_reported_cells","Appendix p. 12, Table 9"
"The design establishes historical prediction and exposure ordering, not a causal effect of inversions on currency returns or a uniquely identified common-risk primitive.","Source limitations pp. 27,34-37 and v0.3 identification judgment","rewrite_interpretation","Main pp. 5,12-13,27,30-33; Appendix p. 15"
"Delayed compensation is a candidate friction assumed in the benchmark and is not identified by the return regression.","AI JMP.pdf pp. 18-21,27; Assumption 5 and limitations","rewrite_interpretation","Main pp. 5,31-32; Appendix pp. 7-8"
"Exact baseline replication is unavailable because source data, identifiers, code, and intermediate files are absent from the workspace.","Workspace audit","reproducibility_boundary","Main pp. 12-13,30; Appendix pp. 15-16"
"A frozen prospective holdout is the decisive missing design test.","In-sample rule evaluation documented throughout source; v0.3 identification judgment","rewrite_interpretation","Main pp. 5,13,30,33; Appendix p. 15"
"The independently executed public 10Y-3M baseline-like rule has a log spot-return-proxy difference of -3.20, inclusive circular-rotation reference value 0.335, 99 active months, and 18 episodes.","Executable public proxy output and manifest; not AI JMP.pdf","independently_reproduced_public_proxy_not_original_replication","Main p. 29, Table 10; Appendix p. 17, Table 10"
"Across 64 public 10Y-3M rules, 41 coefficients are negative, the baseline-like rule ranks 22nd, zero meet the 5-percent family reference criterion, and its common-calendar max-|z| reference value is 1.000.","Executable public proxy rule-family output; not AI JMP.pdf","independently_reproduced_public_challenge_not_original_replication","Main pp. 28-30; Appendix pp. 17-18, Figure 2"
"Removing the three public-proxy crisis episodes attenuates the baseline-like coefficient to -0.46 with complete-case rotation-reference value 0.826; deleting the five worst active months changes it to +0.94.","Executable public proxy sensitivity output; not AI JMP.pdf","independently_reproduced_public_challenge_not_original_replication","Main pp. 29-30; Appendix pp. 17,19, Table 10"
"Nine public joint delete-one proxy estimates are negative, but calendars overlap and the signs are sensitivity patterns rather than independent successes.","Executable public proxy joint-delete output; not AI JMP.pdf","independently_reproduced_public_proxy_not_original_replication","Appendix pp. 18-19, Table 11"
"The public proxy contains 18 episodes, not the source baseline's 15 episodes.","Executable public proxy episode ledger; not AI JMP.pdf","independently_reproduced_public_proxy_not_original_replication","Appendix p. 20, Table 12"
"The independently reproduced delivered-easing rule produces 15 onsets; the equality with the baseline's 15 episodes is coincidental.","Executable public delivered-easing output; not AI JMP.pdf","independently_reproduced_downstream_proxy_not_original_replication","Appendix pp. 20-21"
"The delivered-easing policy-ranked log spot-return proxy over months 0--1 is -1.06 with finite-rotation reference 0.222 and Holm-adjusted reference 1.000; no primary outcome meets the 5-percent Holm criterion.","Executable public delivered-easing output; not AI JMP.pdf","independently_reproduced_downstream_proxy_not_original_replication","Appendix pp. 22-24, Table 13/Figure 3"
"Delivered-easing month-t returns are contemporaneous event associations because the onset is observed during t; they are not feasible predictions made before easing.","Public pipeline timing and v0.3 interpretation","public_proxy_timing_boundary","Appendix pp. 21-23"
"The public pair/triple screen enumerates 120 combinations; CHF-GBP is the only result meeting the 5-percent common-rotation max-|z| criterion under a six-event minimum, reference value 0.035.","Executable public combination output and manifest; not AI JMP.pdf","independently_reproduced_exploratory_public_proxy","Appendix pp. 25-26, Table 15"
"The CHF-GBP public result is sensitive to October 2008 and disappears with minimum event counts of eight or ten.","Executable public combination threshold and leave-one-event diagnostics; not AI JMP.pdf","independently_reproduced_exploratory_public_challenge","Appendix p. 26"
"Public proxy analyses use different inputs, tenor, return proxy, and event timing and therefore challenge or contextualize the baseline rather than replicate it.","v0.3 evidentiary protocol","reproducibility_boundary","Main pp. 13,28-30; Appendix pp. 16-26"
"The raw current-inversion count captures 9 of 23 worst-5-percent months and 19 of 46 worst-10-percent months, compared with 8 and 15 for the live state; the live state's concentration ratios are 1.73 and 1.62 versus 1.09 and 1.15 for the raw count, and it captures all five worst months versus two.","AI JMP.pdf pp. 81-82; Figure D.1 and Table D.1","source_reported_not_independently_replicated","Appendix p. 9; Main pp. 3,8 report the extreme-tail subset"
"At a fixed -4-percent monthly cutoff, the high-beta portfolio's active-state tail frequency is 9.8 percent versus 4.6 percent outside with p=0.033; annualized volatility is 7.94 versus 7.75 percent and the variance-ratio p-value is 0.80.","AI JMP.pdf pp. 40-41; Table 5 and distribution discussion","source_reported_not_independently_replicated","Appendix p. 8"
"The carry-spot local-projection response is front-loaded: about -1.1 percent in month one and -2.4 percent cumulatively by month four in the baseline, with onset-only and lag-controlled paths reaching roughly -3.7 to -4.2 percent around months four to six before partially rebounding.","AI JMP.pdf pp. 37,92-93; Figure 6, Appendix J discussion, and Figure J.1","source_reported_not_independently_replicated","Appendix pp. 13-14, Figure 1"
"All seven emerging-market bilateral coefficients are negative; the rand is -14.68 with p=0.015 and the rupee is -7.98 with p=0.061. Pooled spot coefficients order the live state at -14.37 ahead of the raw current count at -4.54 and its six-month age filter at -3.92.","AI JMP.pdf pp. 50-51; Tables 9-10","source_reported_not_independently_replicated","Appendix p. 12"
"The combined-universe portfolios are concentrated: emerging markets occupy 99 percent of carry-long slots and 93 percent of high-beta-long slots, the Brazilian real enters the carry-long leg in 93 percent of months, and the funding bloc is principally yen, franc, and euro.","AI JMP.pdf pp. 52-53; Section 8 and Table 11 discussion","source_reported_not_independently_replicated","Appendix p. 13"
"Removing fitted exposure to the U.S. ACM slope term premium leaves 83 percent of inversion observations, expands the rebuilt classifier from 92 to 125 active months, and retains all five worst carry months.","AI JMP.pdf pp. 86,92-94; Appendix E, Appendix K, and Table K.1","source_reported_not_independently_replicated","Main pp. 26-27, Table 9; Appendix p. 15"
"Adding the lagged U.S. ACM slope-premium level, or its level and one-month change, to the headline regression leaves carry spot near -12.9 with p=0.001 and the S&P-beta spot coefficient near -7.6 with p=0.011.","AI JMP.pdf p. 86; Appendix E term-premium control discussion","source_reported_not_independently_replicated","Main p. 26"
